date,actual,arima,prophet
2025-02-25,312.518798828125,309.94589240681853,307.8329963693551
2025-02-26,320.859039306641,310.1530763175431,308.0933316961285
2025-02-27,319.516906738281,310.36026022826763,308.9848895587879
2025-02-28,316.640960693359,310.5674441389922,309.15578399794435
2025-03-01,316.640960693359,310.77462804971674,309.2971483654952
2025-03-02,316.640960693359,310.98181196044135,309.42641553446043
2025-03-03,326.227416992188,311.1889958711659,310.2939156449802
2025-03-04,320.571411132812,311.39617978189045,310.18269525776145
2025-03-05,328.144714355469,311.603363692615,310.4430305845353
2025-03-06,331.499969482422,311.81054760333956,311.3345884471942
2025-03-07,329.007537841797,312.0177315140641,311.50548288634974
2025-03-08,329.007537841797,312.2249154247887,311.64684725390083
2025-03-09,329.007537841797,312.43209933551327,311.77611442286684
2025-03-10,328.144714355469,312.6392832462378,312.64361453338654
2025-03-11,323.830810546875,312.8464671569624,312.53239414616814
2025-03-12,332.36279296875,313.05365106768693,312.7927294729421
2025-03-13,333.992462158203,313.2608349784115,313.6842873356005
2025-03-14,337.060150146484,313.46801888913603,313.85518177475507
2025-03-15,337.060150146484,313.6752027998606,313.99654614230764
2025-03-16,337.060150146484,313.88238671058514,314.1258133112727
2025-03-17,337.060150146484,314.0895706213097,314.99331342179215
2025-03-18,343.483062744141,314.2967545320343,314.88209303457285
2025-03-19,340.798858642578,314.50393844275885,315.1424283613478
2025-03-20,339.073303222656,314.7111223534834,316.0339862240051
2025-03-21,336.868408203125,314.91830626420796,316.2048806631611
2025-03-22,336.868408203125,315.1254901749325,316.34624503071325
2025-03-23,336.868408203125,315.33267408565706,316.4755121996785
2025-03-24,336.868408203125,315.53985799638167,317.3430123101977
2025-03-25,341.469940185547,315.7470419071062,317.2317919229785
2025-03-26,340.511291503906,315.9542258178308,317.49212724975246
2025-03-27,342.5244140625,316.1614097285553,318.3836851124105
2025-03-28,340.607116699219,316.3685936392799,318.55457955156584
2025-03-29,340.607116699219,316.57577755000443,318.6959439191187
2025-03-30,340.607116699219,316.782961460729,318.82521108808487
2025-03-31,337.539459228516,316.99014537145354,319.6927111986034
2025-04-01,342.236846923828,317.1973292821781,319.58149081138424
2025-04-02,342.5244140625,317.40451319290264,319.8418261381581
2025-04-03,339.169158935547,317.61169710362725,320.73338400081775
2025-04-04,318.654113769531,317.8188810143518,320.9042784399718
2025-04-05,318.654113769531,318.02606492507635,321.0456428075243
2025-04-06,318.654113769531,318.2332488358009,321.17490997648923
2025-04-07,302.932312011719,318.44043274652546,322.04241008700967
2025-04-08,311.656005859375,318.64761665725,321.93118969978997
2025-04-09,302.165405273438,318.85480056797456,322.191525026565
2025-04-10,315.394744873047,319.0619844786992,323.083082889223
2025-04-11,314.436096191406,319.2691683894237,323.2539773283787
2025-04-12,314.436096191406,319.4763523001483,323.3953416959299
2025-04-13,314.436096191406,319.68353621087283,323.5246088648953
2025-04-14,323.734954833984,319.8907201215974,324.3921089754146
2025-04-15,328.815795898438,320.09790403232194,324.28088858819467
2025-04-16,332.937957763672,320.3050879430465,324.5412239149685
2025-04-17,333.800750732422,320.51227185377104,325.4327817776284
2025-04-18,333.800750732422,320.7194557644956,325.60367621678404
2025-04-19,333.800750732422,320.92663967522014,325.74504058433547
2025-04-20,333.800750732422,321.13382358594475,325.8743077533015
2025-04-21,333.800750732422,321.3410074966693,326.7418078638209
2025-04-22,340.031951904297,321.54819140739386,326.63058747660205
2025-04-23,342.332702636719,321.7553753181184,326.89092280337536
2025-04-24,341.757507324219,321.96255922884296,327.7824806660347
2025-04-25,344.25,322.1697431395675,327.95337510518937
2025-04-26,344.25,322.3769270502921,328.0947394727409
2025-04-27,344.25,322.5841109610167,328.224006641706
2025-04-28,346.263153076172,322.79129487174123,329.09150675222725
2025-04-29,346.742492675781,322.9984787824658,328.9802863650077
2025-04-30,349.043243408203,323.20566269319033,329.24062169178103
2025-05-01,349.043243408203,323.4128466039149,330.132179554441
2025-05-02,354.699249267578,323.62003051463944,330.3030739935953
2025-05-03,354.699249267578,323.827214425364,330.4444383611479
2025-05-04,354.699249267578,324.03439833608854,330.5737055301119
2025-05-05,359.588348388672,324.2415822468131,331.4412056406322
2025-05-06,361.984954833984,324.4487661575377,331.32998525341344
2025-05-07,356.328948974609,324.65595006826226,331.5903205801868
2025-05-08,357,324.8631339789868,332.4818784428456
2025-05-09,362.399993896484,325.07031788971136,332.6527728820012
2025-05-10,362.399993896484,325.2775018004359,332.79413724955333
2025-05-11,362.399993896484,325.48468571116047,332.9234044185179
2025-05-12,351.700012207031,325.6918696218851,333.7909045290385
2025-05-13,350.899993896484,325.8990535326096,333.67968414181814
2025-05-14,350.899993896484,326.1062374433342,333.9400194685925
2025-05-15,348.200012207031,326.31342135405873,334.83157733125097
2025-05-16,351.200012207031,326.5206052647833,335.0024717704061
2025-05-17,351.200012207031,326.72778917550784,335.1438361379589
2025-05-18,351.200012207031,326.9349730862324,335.27310330692416
2025-05-19,351.600006103516,327.14215699695694,336.1406034174441
2025-05-20,347.799987792969,327.3493409076815,336.02938303022654
2025-05-21,351.5,327.55652481840605,336.28971835699934
2025-05-22,350.899993896484,327.76370872913066,337.1812762196582
2025-05-23,347,327.9708926398552,337.352170658812
2025-05-24,347,328.17807655057976,337.4935350263657
2025-05-25,347,328.3852604613043,337.6228021953302
2025-05-26,352.299987792969,328.59244437202887,338.49030230585043
2025-05-27,352.399993896484,328.7996282827534,338.37908191863124
2025-05-28,348.200012207031,329.00681219347797,338.63941724540507
2025-05-29,347.700012207031,329.2139961042026,339.53097510806356
2025-05-30,348.700012207031,329.42118001492713,339.70186954721896
2025-05-31,348.700012207031,329.6283639256517,339.84323391477125
2025-06-01,348.700012207031,329.83554783637624,339.9725010837361
2025-06-02,350.600006103516,330.0427317471008,340.8400011942553
2025-06-03,350.799987792969,330.24991565782534,340.72878080703583
2025-06-04,352.899993896484,330.4570995685499,340.9891161338098
2025-06-05,353.899993896484,330.66428347927445,341.8806739964699
2025-06-06,355.299987792969,330.871467389999,342.05156843562423
2025-06-07,355.299987792969,331.07865130072355,342.19293280317675
2025-06-08,355.299987792969,331.28583521144816,342.32219997214247
2025-06-09,355.299987792969,331.4930191221727,343.18970008266166
2025-06-10,347.600006103516,331.70020303289726,343.07847969544264
